Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
False,False,39,True,0.0,Low,3.0,False,False,False,True,False,False,False,False,False
True,True,47,True,1.0,Average,4.0,True,False,False,False,False,False,False,False,False
True,True,61,True,1.0,High,2.0,True,False,False,False,False,False,False,False,False
False,True,32,False,1.0,Low,2.0,False,False,False,True,False,False,False,False,False
False,True,55,False,0.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,38,True,0.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,True,63,True,0.0,High,2.0,True,False,False,False,False,False,False,False,False
False,True,58,True,1.0,Average,2.0,False,True,False,False,False,False,False,False,False
False,True,30,False,3.0,Average,3.0,False,False,True,False,False,False,False,False,False
False,True,60,True,0.0,Average,4.0,True,False,False,False,False,False,False,False,False
False,True,68,False,1.0,High,7.0,False,False,False,False,True,False,False,False,False
False,True,52,False,0.0,Low,3.0,True,False,False,False,False,False,False,False,False
False,True,38,False,0.0,High,5.0,False,False,False,False,True,False,False,False,False
True,True,35,True,10.0,Low,2.0,False,False,False,False,False,True,False,False,False
False,False,18,False,1.0,Low,2.0,False,True,False,False,False,False,False,False,False
False,True,30,True,3.0,Low,2.0,False,False,False,False,False,False,True,False,False
False,False,86,False,1.0,Low,1.0,False,False,False,False,False,False,False,True,False
False,False,25,False,9.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,False,39,True,0.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,False,47,True,1.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,True,43,True,0.0,High,3.0,False,False,False,False,True,False,False,False,False
False,True,36,False,8.0,Average,4.0,False,False,False,False,True,False,False,False,False
False,True,80,False,1.0,Low,1.0,False,False,False,False,False,False,False,True,False
False,False,36,True,0.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,True,37,True,1.0,High,2.0,True,False,False,False,False,False,False,False,False
False,True,46,True,0.0,High,3.0,False,False,False,False,True,False,False,False,False
False,True,55,False,1.0,High,4.0,False,False,False,False,True,False,False,False,False
True,True,47,False,9.0,Average,4.0,False,False,True,False,False,False,False,False,False
True,False,28,True,1.0,Low,3.0,False,False,False,False,False,True,False,False,False
False,True,39,False,9.0,Low,2.0,False,False,False,True,False,False,False,False,False
True,True,27,False,1.0,Low,2.0,False,False,False,False,False,False,False,False,True
False,True,72,True,0.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,True,28,True,0.0,Low,2.0,False,False,True,False,False,False,False,False,False
False,False,35,True,8.0,Low,5.0,False,False,False,True,False,False,False,False,False
False,True,39,True,9.0,High,5.0,False,False,False,False,True,False,False,False,False
True,True,69,True,0.0,High,2.0,False,False,False,False,False,False,False,True,False
False,False,18,False,6.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,True,50,True,1.0,High,2.0,False,False,True,False,False,False,False,False,False
False,False,30,False,5.0,Low,5.0,False,False,False,False,True,False,False,False,False
True,False,39,True,3.0,Low,4.0,True,False,False,False,False,False,False,False,False
True,False,29,False,8.0,Low,4.0,False,False,False,False,False,False,False,False,True
True,True,37,True,4.0,Low,4.0,True,False,False,False,False,False,False,False,False
True,True,39,True,0.0,Average,2.0,False,False,True,False,False,False,False,False,False
True,True,48,True,0.0,Average,5.0,True,False,False,False,False,False,False,False,False
True,False,32,True,0.0,Low,3.0,False,True,False,False,False,False,False,False,False
True,True,43,False,0.0,Average,5.0,False,False,True,False,False,False,False,False,False
False,False,29,False,8.0,Low,5.0,False,False,False,False,False,False,False,False,True
True,True,28,False,9.0,Average,2.0,False,False,True,False,False,False,False,False,False
False,True,80,True,1.0,Low,1.0,False,False,False,False,False,False,False,True,False
True,False,28,True,7.0,Low,4.0,False,False,False,False,False,True,False,False,False
False,True,71,True,6.0,Average,3.0,True,False,False,False,False,False,False,False,False
False,True,67,False,0.0,High,9.0,False,False,False,False,False,False,False,True,False
True,False,26,False,0.0,Low,1.0,False,False,True,False,False,False,False,False,False
True,True,47,True,0.0,Average,2.0,False,False,True,False,False,False,False,False,False
True,True,43,True,2.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,False,27,True,0.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,True,45,True,8.0,Low,4.0,False,False,False,False,False,False,False,False,True
False,True,76,False,1.0,Low,1.0,False,False,False,False,True,False,False,False,False
True,True,43,True,3.0,Average,4.0,True,False,False,False,False,False,False,False,False
True,True,78,True,1.0,High,2.0,False,False,False,False,False,False,False,True,False
False,True,35,True,3.0,Average,3.0,True,False,False,False,False,False,False,False,False
True,False,49,True,1.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,25,True,1.0,Low,5.0,False,False,False,False,False,True,False,False,False
False,True,37,False,0.0,Average,5.0,False,False,False,False,True,False,False,False,False
True,False,32,False,1.0,Low,5.0,False,False,False,False,False,True,False,False,False
False,True,60,True,0.0,Average,2.0,False,True,False,False,False,False,False,False,False
True,True,45,True,5.0,Average,3.0,True,False,False,False,False,False,False,False,False
True,True,49,True,9.0,Average,3.0,False,False,False,False,False,False,True,False,False
False,False,32,True,0.0,Low,5.0,True,False,False,False,False,False,False,False,False
True,True,40,True,0.0,Low,3.0,True,False,False,False,False,False,False,False,False
False,True,59,False,2.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,True,48,True,3.0,Low,5.0,True,False,False,False,False,False,False,False,False
False,True,82,True,0.0,High,2.0,False,False,False,False,True,False,False,False,False
True,True,70,True,0.0,Low,2.0,False,False,False,False,False,False,False,True,False
False,False,31,True,5.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,True,72,True,0.0,High,2.0,False,False,False,False,False,False,False,True,False
False,True,50,True,3.0,Average,4.0,True,False,False,False,False,False,False,False,False
True,False,23,False,11.0,Low,1.0,False,False,True,False,False,False,False,False,False
True,False,20,False,2.0,Low,6.0,False,False,False,False,False,True,False,False,False
True,False,22,False,4.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,False,31,True,8.0,Low,1.0,False,False,True,False,False,False,False,False,False
True,True,36,True,7.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,True,40,True,4.0,Average,4.0,True,False,False,False,False,False,False,False,False
True,False,40,True,1.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,21,False,1.0,Low,3.0,False,True,False,False,False,False,False,False,False
True,True,41,False,4.0,Average,2.0,False,False,True,False,False,False,False,False,False
False,True,40,True,0.0,Low,2.0,True,False,False,False,False,False,False,False,False
False,True,53,True,1.0,Average,3.0,True,False,False,False,False,False,False,False,False
True,True,42,True,5.0,Low,2.0,True,False,False,False,False,False,False,False,False
False,True,42,False,8.0,Low,2.0,False,False,False,False,True,False,False,False,False
False,True,59,True,7.0,Low,2.0,True,False,False,False,False,False,False,False,False
False,True,41,True,1.0,Average,3.0,False,False,False,False,True,False,False,False,False
True,True,31,True,0.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,True,49,True,1.0,High,5.0,True,False,False,False,False,False,False,False,False
False,True,67,True,1.0,Low,2.0,False,False,False,False,True,False,False,False,False
False,True,35,False,4.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,False,26,True,0.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,True,25,False,6.0,Average,8.0,False,False,True,False,False,False,False,False,False
True,True,39,True,4.0,Low,2.0,False,False,False,False,False,True,False,False,False
False,True,63,True,0.0,Low,2.0,False,False,False,True,False,False,False,False,False
False,False,23,False,8.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,False,23,False,0.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,True,53,True,2.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,False,33,True,0.0,Low,2.0,False,True,False,False,False,False,False,False,False
True,True,69,True,0.0,Low,2.0,False,False,True,False,False,False,False,False,False
False,False,37,True,2.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,20,False,3.0,Low,4.0,False,False,False,False,False,False,False,False,True
True,True,49,True,1.0,Average,4.0,False,True,False,False,False,False,False,False,False
False,False,18,False,0.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,True,52,True,0.0,Average,2.0,False,True,False,False,False,False,False,False,False
False,True,28,True,0.0,Average,2.0,False,False,True,False,False,False,False,False,False
True,False,28,True,7.0,Low,3.0,True,False,False,False,False,False,False,False,False
False,False,20,False,0.0,Low,5.0,False,False,False,False,False,True,False,False,False
True,False,27,False,8.0,Low,1.0,False,False,False,False,False,False,True,False,False
False,True,45,True,4.0,Average,4.0,True,False,False,False,False,False,False,False,False
False,False,25,True,1.0,Low,4.0,False,False,False,False,False,True,False,False,False
False,False,40,False,1.0,Low,1.0,False,False,False,False,False,False,False,False,True
True,False,23,False,0.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,True,67,True,0.0,High,2.0,False,False,False,False,False,False,False,True,False
False,False,21,False,0.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,False,38,True,9.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,False,28,False,0.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,False,32,False,1.0,Low,5.0,False,False,False,False,False,True,False,False,False
True,True,56,False,1.0,High,4.0,False,False,False,False,False,False,False,True,False
True,True,53,True,1.0,Low,2.0,True,False,False,False,False,False,False,False,False
False,True,57,False,1.0,High,5.0,False,False,False,False,True,False,False,False,False
True,True,59,True,0.0,Average,3.0,True,False,False,False,False,False,False,False,False
True,True,25,True,1.0,High,4.0,False,False,False,False,False,True,False,False,False
False,True,59,True,0.0,Average,6.0,True,False,False,False,False,False,False,False,False
True,True,36,True,0.0,Low,4.0,True,False,False,False,False,False,False,False,False
False,True,37,True,7.0,Low,2.0,False,False,False,True,False,False,False,False,False
False,False,22,False,1.0,Low,3.0,False,True,False,False,False,False,False,False,False
False,True,43,True,1.0,Low,2.0,True,False,False,False,False,False,False,False,False
False,True,41,True,1.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,False,21,False,0.0,Low,5.0,False,False,True,False,False,False,False,False,False
False,False,38,True,8.0,Low,1.0,False,True,False,False,False,False,False,False,False
False,True,70,True,1.0,High,3.0,False,False,False,False,False,False,False,True,False
True,False,31,False,1.0,Low,4.0,False,False,True,False,False,False,False,False,False
True,True,82,False,0.0,Average,2.0,False,False,False,False,False,False,False,True,False
False,False,38,True,8.0,Low,3.0,True,False,False,False,False,False,False,False,False
False,True,18,False,0.0,High,4.0,False,False,False,False,True,False,False,False,False
False,True,50,True,6.0,Average,3.0,True,False,False,False,False,False,False,False,False
True,True,72,False,1.0,High,3.0,False,False,False,False,False,False,False,True,False
True,False,25,False,1.0,Low,7.0,False,False,False,False,False,False,True,False,False
True,True,75,False,2.0,High,2.0,False,False,False,True,False,False,False,False,False
False,False,72,True,1.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,True,72,True,0.0,Average,3.0,True,False,False,False,False,False,False,False,False
False,True,36,True,6.0,Low,6.0,False,False,False,True,False,False,False,False,False
False,True,40,True,1.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,False,28,True,0.0,Low,4.0,False,False,False,True,False,False,False,False,False
True,False,28,True,0.0,Low,3.0,False,True,False,False,False,False,False,False,False
False,True,43,True,0.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,True,35,True,1.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,True,65,True,1.0,High,2.0,False,False,False,False,False,False,False,True,False
False,True,52,True,7.0,High,4.0,False,False,False,False,True,False,False,False,False
True,False,40,True,1.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,True,69,False,9.0,Low,3.0,False,False,True,False,False,False,False,False,False
True,False,22,False,3.0,Low,3.0,False,False,False,False,False,True,False,False,False
False,True,47,True,1.0,Average,4.0,False,False,False,False,True,False,False,False,False
False,True,29,True,1.0,High,2.0,False,False,False,False,False,False,False,False,True
False,True,46,True,1.0,Average,3.0,True,False,False,False,False,False,False,False,False
False,False,32,True,1.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,False,38,True,0.0,Low,1.0,False,False,False,False,False,True,False,False,False
False,True,59,True,0.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,26,True,1.0,Low,1.0,False,False,False,True,False,False,False,False,False
False,False,26,True,1.0,Low,2.0,False,False,False,False,False,True,False,False,False
False,False,28,False,0.0,Low,1.0,False,False,False,False,False,False,False,False,True
True,True,53,True,1.0,Average,3.0,False,False,True,False,False,False,False,False,False
False,False,27,False,1.0,Low,3.0,False,True,False,False,False,False,False,False,False
False,False,26,False,0.0,Low,4.0,False,False,True,False,False,False,False,False,False
True,False,31,False,0.0,Low,2.0,False,False,False,True,False,False,False,False,False
False,True,39,True,1.0,High,3.0,False,False,False,False,True,False,False,False,False
True,True,43,False,1.0,Low,3.0,False,False,True,False,False,False,False,False,False
False,True,25,False,1.0,Low,2.0,False,True,False,False,False,False,False,False,False
False,True,40,True,3.0,High,3.0,True,False,False,False,False,False,False,False,False
True,True,40,True,7.0,Average,2.0,False,False,False,True,False,False,False,False,False
False,False,27,True,1.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,False,19,False,1.0,Low,2.0,False,False,False,False,False,True,False,False,False
True,True,86,True,0.0,High,2.0,False,False,False,False,False,False,False,True,False
True,True,27,True,4.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,True,70,False,0.0,Average,2.0,False,True,False,False,False,False,False,False,False
True,True,53,False,8.0,Average,4.0,False,False,True,False,False,False,False,False,False
False,True,43,False,0.0,High,4.0,False,False,False,False,True,False,False,False,False
False,True,36,False,6.0,Low,3.0,False,True,False,False,False,False,False,False,False
False,True,74,True,0.0,Low,2.0,False,False,False,False,False,False,False,True,False
True,False,30,False,0.0,Low,4.0,False,False,False,False,False,False,True,False,False
True,False,37,True,5.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,False,22,False,0.0,Low,1.0,False,False,False,False,False,False,False,False,True
False,False,19,False,0.0,Low,4.0,False,False,False,False,False,True,False,False,False
False,True,70,True,4.0,High,2.0,False,False,True,False,False,False,False,False,False
False,True,89,True,13.0,Low,1.0,False,False,False,False,False,False,False,True,False
False,False,25,True,6.0,Low,1.0,False,True,False,False,False,False,False,False,False
True,False,45,True,4.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,35,True,3.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,True,37,False,7.0,Low,1.0,False,False,True,False,False,False,False,False,False
True,True,39,False,4.0,Average,2.0,False,False,True,False,False,False,False,False,False
True,False,32,True,1.0,Low,5.0,False,False,False,False,False,True,False,False,False
True,True,62,True,2.0,Average,3.0,True,False,False,False,False,False,False,False,False
True,True,58,True,0.0,Average,4.0,False,False,True,False,False,False,False,False,False
False,False,25,False,0.0,Low,5.0,False,False,False,False,False,True,False,False,False
True,True,56,True,0.0,Average,4.0,True,False,False,False,False,False,False,False,False
True,False,36,True,10.0,Low,2.0,False,False,False,True,False,False,False,False,False
True,False,30,False,8.0,Low,3.0,False,False,False,False,False,True,False,False,False
False,False,19,False,1.0,Low,5.0,False,False,False,False,False,True,False,False,False
False,False,27,True,0.0,Low,2.0,False,False,False,False,False,True,False,False,False
True,False,38,True,14.0,Low,1.0,False,True,False,False,False,False,False,False,False
False,True,46,True,8.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,False,29,True,3.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,True,51,False,1.0,Average,4.0,False,False,False,True,False,False,False,False,False
False,True,55,False,0.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,True,69,True,1.0,Low,1.0,False,False,True,False,False,False,False,False,False
True,False,26,False,1.0,Low,8.0,False,False,False,False,False,True,False,False,False
True,True,83,True,0.0,Low,3.0,False,False,False,False,False,False,False,True,False
True,False,39,True,9.0,Low,1.0,False,False,False,False,False,True,False,False,False
False,True,35,True,9.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,True,19,False,2.0,High,5.0,False,False,False,False,False,False,False,False,True
True,False,29,False,1.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,False,26,False,0.0,Low,1.0,False,True,False,False,False,False,False,False,False
False,False,36,True,8.0,Low,1.0,False,False,True,False,False,False,False,False,False
True,False,22,False,0.0,Low,4.0,False,False,False,False,False,False,True,False,False
False,False,19,False,0.0,Low,5.0,False,False,False,False,False,False,False,False,True
True,True,20,True,1.0,Average,3.0,False,False,False,False,False,False,False,True,False
False,False,43,True,3.0,Low,3.0,False,False,False,False,False,True,False,False,False
False,False,43,True,1.0,Low,2.0,False,False,False,True,False,False,False,False,False
True,True,50,True,4.0,High,3.0,False,False,True,False,False,False,False,False,False
False,False,25,True,1.0,Low,2.0,False,False,False,True,False,False,False,False,False
False,True,61,False,1.0,High,2.0,True,False,False,False,False,False,False,False,False
True,True,28,True,0.0,Average,2.0,False,False,False,False,False,True,False,False,False
False,False,38,True,1.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,False,25,False,12.0,Low,3.0,False,False,False,False,True,False,False,False,False
True,False,18,False,9.0,Low,5.0,False,False,False,False,False,True,False,False,False
False,True,43,True,1.0,Average,5.0,False,False,False,True,False,False,False,False,False
True,False,27,True,8.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,60,True,1.0,Low,2.0,False,False,False,True,False,False,False,False,False
False,True,75,True,2.0,Low,1.0,False,False,False,False,False,False,False,True,False
False,False,23,False,6.0,Low,4.0,False,True,False,False,False,False,False,False,False
False,False,36,True,8.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,False,30,False,1.0,Low,1.0,False,True,False,False,False,False,False,False,False
False,True,56,False,1.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,True,52,True,2.0,Low,2.0,True,False,False,False,False,False,False,False,False
False,True,39,True,0.0,Low,1.0,False,False,False,True,False,False,False,False,False
True,False,35,False,5.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,True,33,False,0.0,Average,2.0,False,False,True,False,False,False,False,False,False
True,False,25,True,0.0,Low,6.0,True,False,False,False,False,False,False,False,False
True,True,27,True,0.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,True,35,True,1.0,High,3.0,True,False,False,False,False,False,False,False,False
True,True,41,True,1.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,True,46,False,8.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,False,26,True,9.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,True,43,True,13.0,High,2.0,False,True,False,False,False,False,False,False,False
True,True,30,True,8.0,Low,4.0,True,False,False,False,False,False,False,False,False
True,True,70,True,1.0,Average,4.0,True,False,False,False,False,False,False,False,False
True,True,89,False,3.0,High,1.0,False,False,False,False,False,False,False,True,False
True,True,42,False,6.0,High,4.0,False,False,False,False,False,False,True,False,False
True,True,37,True,6.0,Average,3.0,False,False,False,True,False,False,False,False,False
False,True,29,False,1.0,Average,3.0,False,False,False,False,True,False,False,False,False
True,True,68,True,1.0,High,2.0,True,False,False,False,False,False,False,False,False
True,False,25,False,1.0,Low,1.0,False,False,True,False,False,False,False,False,False
True,True,48,True,0.0,Low,2.0,False,True,False,False,False,False,False,False,False
True,True,51,True,1.0,Average,3.0,False,True,False,False,False,False,False,False,False
True,True,40,True,1.0,High,5.0,False,False,True,False,False,False,False,False,False
False,True,47,True,0.0,Average,6.0,True,False,False,False,False,False,False,False,False
False,True,35,True,1.0,Average,4.0,False,False,False,False,True,False,False,False,False
True,False,19,False,2.0,Low,3.0,False,False,False,False,False,True,False,False,False
False,True,46,True,0.0,Average,3.0,False,False,False,True,False,False,False,False,False
False,True,86,True,0.0,Low,1.0,False,False,False,False,False,False,False,True,False
False,True,66,True,0.0,High,2.0,True,False,False,False,False,False,False,False,False
False,False,42,False,1.0,Low,5.0,False,False,False,False,False,False,False,False,True
True,True,73,True,1.0,High,2.0,False,False,False,False,False,False,False,True,False
False,True,72,False,1.0,Low,1.0,False,False,True,False,False,False,False,False,False
False,True,53,True,0.0,Low,3.0,True,False,False,False,False,False,False,False,False
True,True,39,True,8.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,False,27,False,9.0,Low,1.0,False,False,False,False,False,False,True,False,False
True,False,23,False,1.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,False,30,True,0.0,Low,4.0,False,False,False,True,False,False,False,False,False
True,True,39,True,5.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,True,26,True,1.0,Average,3.0,True,False,False,False,False,False,False,False,False
True,True,50,True,7.0,Low,3.0,False,False,False,True,False,False,False,False,False
True,True,45,True,1.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,False,62,False,2.0,Low,1.0,False,False,False,True,False,False,False,False,False
True,False,27,True,1.0,Low,3.0,False,True,False,False,False,False,False,False,False
True,True,30,False,1.0,Average,7.0,False,False,True,False,False,False,False,False,False
False,False,32,False,7.0,Low,4.0,False,False,False,False,False,True,False,False,False
False,False,47,False,3.0,Low,3.0,True,False,False,False,False,False,False,False,False
True,False,32,True,4.0,Low,4.0,True,False,False,False,False,False,False,False,False
True,True,32,False,5.0,Low,3.0,False,False,True,False,False,False,False,False,False
False,True,67,True,1.0,Average,4.0,False,True,False,False,False,False,False,False,False
True,True,77,True,0.0,High,2.0,False,False,False,False,False,False,False,True,False
False,False,31,False,1.0,Low,1.0,False,False,False,True,False,False,False,False,False
False,True,42,True,0.0,Low,3.0,True,False,False,False,False,False,False,False,False
False,True,50,True,1.0,Average,4.0,True,False,False,False,False,False,False,False,False
False,True,71,True,0.0,Average,5.0,True,False,False,False,False,False,False,False,False
True,True,72,False,1.0,Low,3.0,False,False,False,False,False,False,False,True,False
False,True,45,True,9.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,False,40,False,9.0,Low,5.0,False,False,True,False,False,False,False,False,False
True,False,36,True,4.0,Low,1.0,False,False,True,False,False,False,False,False,False
